Date,Price
2014-01-02,"9,6"
2014-01-03,"9,7"
2014-01-07,"9,44"
2014-01-08,"8,9"
2014-01-09,9
2014-01-10,"8,5"
2014-01-13,"8,5"
2014-01-14,"8,63"
2014-01-15,"8,55"
2014-01-16,"8,5"
2014-01-17,"8,55"
2014-01-20,"8,31"
2014-01-21,"8,47"
2014-01-22,"8,45"
2014-01-23,"8,32"
2014-01-24,"8,3"
2014-01-27,"8,28"
2014-01-28,"8,25"
2014-01-29,"8,25"
2014-01-30,"8,3"
2014-01-31,"8,33"
2014-02-03,"8,31"
2014-02-04,"8,16"
2014-02-05,"8,3"
2014-02-06,"9,5"
2014-02-07,"10,45"
2014-02-10,"10,79"
2014-02-11,"10,19"
2014-02-12,"10,7"
2014-02-13,"10,55"
2014-02-14,"10,5"
2014-02-17,"10,69"
2014-02-18,"10,82"
2014-02-19,"10,9"
2014-02-20,"10,68"
2014-02-21,"10,23"
2014-02-24,"10,59"
2014-02-25,"10,79"
2014-02-26,"10,8"
2014-02-27,"11,5"
2014-02-28,"12,5"
2014-03-03,"11,67"
2014-03-04,"12,55"
2014-03-05,"12,3"
2014-03-06,"12,1"
2014-03-07,"11,9"
2014-03-10,12
2014-03-11,"12,5"
2014-03-12,"12,01"
2014-03-13,"12,1"
2014-03-14,"12,2"
2014-03-17,"12,7"
2014-03-18,"12,55"
2014-03-19,12
2014-03-20,12
2014-03-21,"12,1"
2014-03-24,"11,79"
2014-03-25,"11,59"
2014-03-26,"11,8"
2014-03-27,"11,5"
2014-03-28,"11,5"
2014-03-31,"11,8"
2014-04-01,"11,25"
2014-04-02,"11,05"
2014-04-03,"11,75"
2014-04-04,12
2014-04-07,"11,7"
2014-04-08,"11,6"
2014-04-09,"11,05"
2014-04-10,"11,5"
2014-04-11,"11,75"
2014-04-14,"11,31"
2014-04-15,"11,36"
2014-04-16,"11,3"
2014-04-17,"11,16"
2014-04-22,"11,4"
2014-04-23,12
2014-04-24,"12,1"
2014-04-25,"12,05"
2014-04-28,"12,4"
2014-04-29,13
2014-04-30,"14,5"
2014-05-02,"14,29"
2014-05-05,14
2014-05-06,14
2014-05-07,"13,2"
2014-05-08,"12,9"
2014-05-09,"13,19"
2014-05-12,13
2014-05-13,"13,15"
2014-05-14,"13,2"
2014-05-15,"12,87"
2014-05-16,"13,05"
2014-05-19,"12,95"
2014-05-20,"12,5"
2014-05-21,"12,6"
2014-05-22,"12,66"
2014-05-23,13
2014-05-26,"12,88"
2014-05-27,"13,45"
2014-05-28,"13,05"
2014-05-29,"13,05"
2014-05-30,"12,95"
2014-06-02,"12,9"
2014-06-03,"12,72"
2014-06-04,"12,6"
2014-06-05,"13,5"
2014-06-06,"13,57"
2014-06-09,13
2014-06-10,"12,8"
2014-06-11,"12,8"
2014-06-12,12
2014-06-13,"12,2"
2014-06-16,"11,9"
2014-06-17,12
2014-06-18,12
2014-06-20,12
2014-06-23,"11,99"
2014-06-24,12
2014-06-25,"12,29"
2014-06-26,12
2014-06-27,"12,85"
2014-06-30,"12,54"
2014-07-01,"12,45"
2014-07-02,"11,75"
2014-07-03,"11,6"
2014-07-04,"11,6"
2014-07-07,"11,6"
2014-07-08,"11,5"
2014-07-09,"11,25"
2014-07-10,"10,46"
2014-07-11,"10,1"
2014-07-14,"10,49"
2014-07-15,"10,24"
2014-07-16,"10,35"
2014-07-17,"10,2"
2014-07-18,"10,3"
2014-07-21,"10,38"
2014-07-22,"10,37"
2014-07-23,"10,21"
2014-07-24,"10,37"
2014-07-25,"10,24"
2014-07-28,"10,36"
2014-07-29,10
2014-07-30,"10,32"
2014-07-31,"10,35"
2014-08-01,"10,42"
2014-08-04,"10,4"
2014-08-05,"10,3"
2014-08-06,"10,3"
2014-08-07,"10,1"
2014-08-08,"9,95"
2014-08-11,"9,8"
2014-08-12,10
2014-08-13,"9,81"
2014-08-14,"9,9"
2014-08-18,"9,75"
2014-08-19,"9,65"
2014-08-20,"9,65"
2014-08-21,"9,7"
2014-08-22,"9,78"
2014-08-25,"10,25"
2014-08-26,"10,49"
2014-08-27,"10,79"
2014-08-28,"11,2"
2014-08-29,"11,99"
2014-09-01,"11,4"
2014-09-02,"11,2"
2014-09-03,"10,71"
2014-09-04,"11,2"
2014-09-05,"11,99"
2014-09-08,"11,2"
2014-09-09,11
2014-09-10,"11,16"
2014-09-11,11
2014-09-12,11
2014-09-15,11
2014-09-16,"10,67"
2014-09-17,"10,3"
2014-09-18,"9,6"
2014-09-19,"10,05"
2014-09-22,"10,13"
2014-09-23,"9,8"
2014-09-24,"9,3"
2014-09-25,"8,99"
2014-09-26,"9,43"
2014-09-29,10
2014-09-30,"10,99"
2014-10-01,"10,8"
2014-10-02,"9,88"
2014-10-03,"9,6"
2014-10-06,9
2014-10-07,"9,25"
2014-10-08,"9,16"
2014-10-09,"8,97"
2014-10-10,"9,16"
2014-10-13,"9,16"
2014-10-14,9
2014-10-15,"9,16"
2014-10-16,"8,99"
2014-10-17,"8,98"
2014-10-20,"8,5"
2014-10-21,"8,5"
2014-10-22,9
2014-10-23,"9,18"
2014-10-24,"9,1"
2014-10-27,"9,05"
2014-10-28,"9,05"
2014-10-29,"9,05"
2014-10-30,"8,9"
2014-10-31,"9,08"
2014-11-03,"9,51"
2014-11-04,"9,37"
2014-11-05,"9,35"
2014-11-06,"9,1"
2014-11-07,"9,29"
2014-11-10,"9,11"
2014-11-12,"9,05"
2014-11-13,9
2014-11-14,"9,62"
