Date,Price
2014-01-02,66.38
2014-01-03,65.744
2014-01-07,64.463
2014-01-08,65.075
2014-01-09,65.075
2014-01-10,65.075
2014-01-13,64.366
2014-01-14,65.401
2014-01-15,65.809
2014-01-16,65.89
2014-01-17,66.339
2014-01-20,68.508
2014-01-21,69.56
2014-01-22,70.131
2014-01-23,70.857
2014-01-24,70.808
2014-01-27,70.294
2014-01-28,70.661
2014-01-29,70.946
2014-01-30,71.224
2014-01-31,71.762
2014-02-03,71.762
2014-02-04,70.767
2014-02-05,71.11
2014-02-06,73.148
2014-02-07,72.985
2014-02-10,73.107
2014-02-11,74.861
2014-02-12,76.247
2014-02-13,75.839
2014-02-14,75.432
2014-02-17,75.782
2014-02-18,74.975
2014-02-19,74.616
2014-02-20,73.393
2014-02-21,75.007
2014-02-24,75.799
2014-02-25,75.75
2014-02-26,75.921
2014-02-27,77.062
2014-02-28,79.224
2014-03-03,75.676
2014-03-04,77.266
2014-03-05,75.888
2014-03-06,74.763
2014-03-07,72.569
2014-03-10,72.944
2014-03-11,72.985
2014-03-12,72.577
2014-03-13,72.251
2014-03-14,70.62
2014-03-17,72.235
2014-03-18,72.292
2014-03-19,71.126
2014-03-20,71.354
2014-03-21,69.723
2014-03-24,70.539
2014-03-25,71.395
2014-03-26,72.577
2014-03-27,71.762
2014-03-28,71.55
2014-03-31,71.517
2014-04-01,71.762
2014-04-02,72.145
2014-04-03,71.68
2014-04-04,71.028
2014-04-07,70.661
2014-04-08,71.517
2014-04-09,70.946
2014-04-10,68.459
2014-04-11,66.869
2014-04-14,65.646
2014-04-15,64.325
2014-04-16,65.646
2014-04-17,68.337
2014-04-22,69.209
2014-04-23,66.918
2014-04-24,65.85
2014-04-25,65.85
2014-04-28,64.79
2014-04-29,65.214
2014-04-30,65.091
2014-05-02,64.83
2014-05-05,63.615
2014-05-06,64.219
2014-05-07,64.26
2014-05-08,64.749
2014-05-09,63.689
2014-05-12,63.526
2014-05-13,63.46
2014-05-14,63.607
2014-05-15,62.955
2014-05-16,63.199
2014-05-19,63.534
2014-05-20,65.075
2014-05-21,65.238
2014-05-22,66.633
2014-05-23,66.787
2014-05-26,66.787
2014-05-27,67.358
2014-05-28,66.527
2014-05-29,66.951
2014-05-30,68.084
2014-06-02,67.269
2014-06-03,66.869
2014-06-04,66.869
2014-06-05,67.521
2014-06-06,69.283
2014-06-09,68.867
2014-06-10,68.818
2014-06-11,68.402
2014-06-12,67.709
2014-06-13,67.733
2014-06-16,67.685
2014-06-17,67.685
2014-06-18,67.44
2014-06-20,68.5
2014-06-23,68.231
2014-06-24,68.337
2014-06-25,67.399
2014-06-26,66.469
2014-06-27,66.461
2014-06-30,67.685
2014-07-01,66.706
2014-07-02,67.277
2014-07-03,66.869
2014-07-04,66.502
2014-07-07,66.804
2014-07-08,66.69
2014-07-09,66.054
2014-07-10,64.268
2014-07-11,64.83
2014-07-14,65.002
2014-07-15,65.703
2014-07-16,65.238
2014-07-17,65.45
2014-07-18,65.964
2014-07-21,66.037
2014-07-22,65.36
2014-07-23,64.79
2014-07-24,64.757
2014-07-25,65.882
2014-07-28,65.882
2014-07-29,65.157
2014-07-30,62.955
2014-07-31,62.996
2014-08-01,64.79
2014-08-04,65.646
2014-08-05,64.056
2014-08-06,64.023
2014-08-07,63.99
2014-08-08,62.792
2014-08-11,63.852
2014-08-12,64.015
2014-08-13,64.015
2014-08-14,63.558
2014-08-18,64.667
2014-08-19,64.423
2014-08-20,64.423
2014-08-21,64.178
2014-08-22,63.607
2014-08-25,63.509
2014-08-26,64.855
2014-08-27,64.235
2014-08-28,62.139
2014-08-29,62.147
2014-09-01,62.082
2014-09-02,62.938
2014-09-03,65.85
2014-09-04,68.981
2014-09-05,69.356
2014-09-08,68.949
2014-09-09,68.296
2014-09-10,69.234
2014-09-11,67.717
2014-09-12,69.152
2014-09-15,70.743
2014-09-16,70.743
2014-09-17,71.599
2014-09-18,70.539
2014-09-19,70.946
2014-09-22,70.881
2014-09-23,70.702
2014-09-24,69.071
2014-09-25,68.1
2014-09-26,67.252
2014-09-29,67.562
2014-09-30,69.275
2014-10-01,68.745
2014-10-02,67.685
2014-10-03,67.733
2014-10-06,68.337
2014-10-07,67.163
2014-10-08,64.219
2014-10-09,63.607
2014-10-10,61.65
2014-10-13,61.895
2014-10-14,62.058
2014-10-15,59.774
2014-10-16,58.315
2014-10-17,59.774
2014-10-20,59
2014-10-21,61.976
2014-10-22,62.547
2014-10-23,61.813
2014-10-24,61.732
2014-10-27,61.976
2014-10-28,61.976
2014-10-29,62.074
2014-10-30,60.345
2014-10-31,60.998
2014-11-03,61.952
2014-11-04,61.895
2014-11-05,62.294
2014-11-06,64.284
2014-11-07,62.792
2014-11-10,61.161
2014-11-12,61.862
2014-11-13,61.846
2014-11-14,62.792
2014-11-17,64.423
2014-11-18,63.615
2014-11-19,63.852
2014-11-20,62.384
2014-11-21,62.841
2014-11-24,63.656
2014-11-25,64.675
2014-11-26,65.23
2014-11-27,66.812
2014-11-28,64.423
2014-12-01,64.953
2014-12-02,66.869
2014-12-03,66.624
2014-12-04,65.336
2014-12-05,66.787
2014-12-08,66.869
2014-12-09,64.741
2014-12-10,63.607
2014-12-11,63.599
2014-12-12,62.963
2014-12-15,61.976
2014-12-16,60.753
2014-12-17,61.511
2014-12-18,62.425
2014-12-19,62.465
2014-12-22,64.83
2014-12-23,64.015
2014-12-29,63.778
2014-12-30,63.591
2015-01-02,62.832
2015-01-05,61.511
2015-01-07,62.221
2015-01-08,64.83
2015-01-09,64.643
2015-01-12,66.151
2015-01-13,66.461
2015-01-14,66.306
2015-01-15,63.607
2015-01-16,63.64
2015-01-19,64.423
2015-01-20,63.852
2015-01-21,65.067
2015-01-22,68.5
2015-01-23,69.128
2015-01-26,69.315
2015-01-27,70.367
2015-01-28,69.095
2015-01-29,68.5
2015-01-30,70.049
2015-02-02,68.908
2015-02-03,68.818
2015-02-04,67.725
2015-02-05,66.967
2015-02-06,67.521
2015-02-09,68.418
2015-02-10,69.03
2015-02-11,68.141
2015-02-12,67.277
2015-02-13,68.003
2015-02-16,68.557
2015-02-17,69.226
2015-02-18,69.234
2015-02-19,69.593
2015-02-20,69.144
2015-02-23,68.826
2015-02-24,67.269
2015-02-25,67.766
2015-02-26,67.603
2015-02-27,67.513
2015-03-02,66.787
2015-03-03,67.228
2015-03-04,66.143
2015-03-05,66.502
2015-03-06,65.744
2015-03-09,64.953
2015-03-10,63.248
2015-03-11,64.113
2015-03-12,66.266
2015-03-13,64.871
