Data,Zamknięcie
2014-01-02,"110,56"
2014-01-03,"110,04"
2014-01-07,"108,12"
2014-01-08,106
2014-01-09,"107,17"
2014-01-10,"105,39"
2014-01-13,"100,67"
2014-01-14,"102,24"
2014-01-15,"103,5"
2014-01-16,"103,69"
2014-01-17,"102,56"
2014-01-20,"102,19"
2014-01-21,"105,66"
2014-01-22,"110,56"
2014-01-23,"115,27"
2014-01-24,"110,94"
2014-01-27,"110,09"
2014-01-28,"112,16"
2014-01-29,"110,85"
2014-01-30,"110,09"
2014-01-31,"111,98"
2014-02-03,"113,11"
2014-02-04,"111,22"
2014-02-05,"111,41"
2014-02-06,"114,79"
2014-02-07,"114,14"
2014-02-10,"116,48"
2014-02-11,"115,36"
2014-02-12,"115,74"
2014-02-13,"117,14"
2014-02-14,"120,44"
2014-02-17,"124,38"
2014-02-18,"121,43"
2014-02-19,"122,18"
2014-02-20,"121,28"
2014-02-21,"122,32"
2014-02-24,"125,13"
2014-02-25,"122,7"
2014-02-26,"122,32"
2014-02-27,"123,54"
2014-02-28,"123,74"
2014-03-03,"115,64"
2014-03-04,"121,86"
2014-03-05,"120,92"
2014-03-06,"120,92"
2014-03-07,"119,59"
2014-03-10,"118,74"
2014-03-11,"116,58"
2014-03-12,"113,11"
2014-03-13,"111,98"
2014-03-14,"109,16"
2014-03-17,"116,21"
2014-03-18,"116,78"
2014-03-19,"117,62"
2014-03-20,"119,22"
2014-03-21,"120,92"
2014-03-24,"120,73"
2014-03-25,"119,37"
2014-03-26,"119,5"
2014-03-27,"120,2"
2014-03-28,"118,56"
2014-03-31,"123,27"
2014-04-01,"126,22"
2014-04-02,"126,22"
2014-04-03,"127,03"
2014-04-04,"126,18"
2014-04-07,"124,21"
2014-04-08,"123,27"
2014-04-09,"124,21"
2014-04-10,"125,52"
2014-04-11,"122,98"
2014-04-14,"119,46"
2014-04-15,"117,62"
2014-04-16,"118,56"
2014-04-17,"118,38"
2014-04-22,"120,34"
2014-04-23,"120,49"
2014-04-24,"117,43"
2014-04-25,"118,84"
2014-04-28,"118,18"
2014-04-29,"118,56"
2014-04-30,"119,5"
2014-05-02,"118,23"
2014-05-05,"114,7"
2014-05-06,"112,92"
2014-05-07,"106,79"
2014-05-08,"106,79"
2014-05-09,"103,87"
2014-05-12,"107,08"
2014-05-13,"109,72"
2014-05-14,"110,28"
2014-05-15,"106,42"
2014-05-16,"106,33"
2014-05-19,"104,53"
2014-05-20,"105,86"
2014-05-21,"109,06"
2014-05-22,"111,69"
2014-05-23,"111,03"
2014-05-26,"110,76"
2014-05-27,"110,94"
2014-05-28,"110,14"
2014-05-29,"112,07"
2014-05-30,"113,38"
2014-06-02,"111,41"
2014-06-03,"112,07"
2014-06-04,"111,41"
2014-06-05,"111,5"
2014-06-06,"110,85"
2014-06-09,"110,09"
2014-06-10,"110,99"
2014-06-11,"109,86"
2014-06-12,"106,79"
2014-06-13,"105,39"
2014-06-16,"106,84"
2014-06-17,"109,06"
2014-06-18,"107,74"
2014-06-20,"106,14"
2014-06-23,"107,31"
2014-06-24,"108,12"
2014-06-25,"106,33"
2014-06-26,"106,28"
2014-06-27,"105,76"
2014-06-30,"106,79"
