Date,Price
2014-01-02,"92,57"
2014-01-03,"90,935"
2014-01-07,"88,551"
2014-01-08,"88,551"
2014-01-09,"84,051"
2014-01-10,"79,552"
2014-01-13,"81,371"
2014-01-14,"79,791"
2014-01-15,"80,891"
2014-01-16,"82,798"
2014-01-17,"82,328"
2014-01-20,"81,849"
2014-01-21,"81,362"
2014-01-22,"80,413"
2014-01-23,"79,466"
2014-01-24,"78,509"
2014-01-27,"77,063"
2014-01-28,"77,063"
2014-01-29,"75,255"
2014-01-30,"83,285"
2014-01-31,"80,499"
2014-02-03,"81,562"
2014-02-04,"80,911"
2014-02-05,"80,891"
2014-02-06,"80,251"
2014-02-07,"79,772"
2014-02-10,"78,461"
2014-02-11,"80,021"
2014-02-12,"81,084"
2014-02-13,"81,371"
2014-02-14,"80,891"
2014-02-17,"79,935"
2014-02-18,"81,371"
2014-02-19,"81,371"
2014-02-20,"79,647"
2014-02-21,"79,456"
2014-02-24,"80,413"
2014-02-25,"79,791"
2014-02-26,"76,727"
2014-02-27,"76,727"
2014-02-28,"78,978"
2014-03-03,"75,043"
2014-03-04,"77,541"
2014-03-05,"79,456"
2014-03-06,"81,849"
2014-03-07,"84,53"
2014-03-10,"84,252"
2014-03-11,"87,497"
2014-03-12,"84,913"
2014-03-13,"86,741"
2014-03-14,"82,624"
2014-03-17,"81,467"
2014-03-18,"81,371"
2014-03-19,"80,605"
2014-03-20,"81,084"
2014-03-21,"82,318"
2014-03-24,"82,328"
2014-03-25,"84,195"
2014-03-26,"84,051"
2014-03-27,"82,663"
2014-03-28,"82,806"
2014-03-31,"84,195"
2014-04-01,"82,673"
2014-04-02,"83,994"
2014-04-03,"83,285"
2014-04-04,"83,007"
2014-04-07,"82,338"
2014-04-08,"83,668"
2014-04-09,"82,615"
2014-04-10,"83,305"
2014-04-11,"81,849"
2014-04-14,"81,954"
2014-04-15,"82,233"
2014-04-16,"82,328"
2014-04-17,"81,859"
2014-04-22,"82,328"
2014-04-23,"82,031"
2014-04-24,"83,668"
2014-04-25,"83,763"
2014-04-28,"83,295"
2014-04-29,"84,128"
2014-04-30,"83,773"
2014-05-02,"83,285"
2014-05-05,"83,295"
2014-05-06,"83,668"
2014-05-07,"83,678"
2014-05-08,"83,38"
2014-05-09,"79,169"
2014-05-12,"80,891"
2014-05-13,"79,466"
2014-05-14,"81,362"
2014-05-15,"79,935"
2014-05-16,"81,371"
2014-05-19,"81,313"
2014-05-20,"82,663"
2014-05-21,"82,673"
2014-05-22,"83,573"
2014-05-23,"82,328"
2014-05-26,"81,371"
2014-05-27,"82,979"
2014-05-28,"83,763"
2014-05-29,"84,243"
2014-05-30,"84,195"
2014-06-02,"85,679"
2014-06-03,"86,635"
2014-06-04,"83,755"
2014-06-05,"86,137"
2014-06-06,"84,789"
2014-06-09,"83,314"
2014-06-10,"83,285"
2014-06-11,"83,19"
2014-06-12,"82,903"
2014-06-13,"83,046"
2014-06-16,"81,514"
2014-06-17,"83,285"
2014-06-18,"83,285"
2014-06-20,"79,886"
2014-06-23,"81,333"
2014-06-24,"81,228"
2014-06-25,"80,413"
2014-06-26,"79,437"
2014-06-27,"80,413"
2014-06-30,"81,533"
2014-07-01,"81,524"
2014-07-02,"79,476"
2014-07-03,"78,978"
2014-07-04,"79,456"
2014-07-07,"77,541"
2014-07-08,"76,584"
2014-07-09,"75,149"
2014-07-10,"75,245"
2014-07-11,"75,627"
2014-07-14,"78,02"
2014-07-15,"77,531"
2014-07-16,"75,827"
2014-07-17,"75,627"
2014-07-18,"75,627"
2014-07-21,"75,149"
2014-07-22,"73,818"
2014-07-23,"75,627"
2014-07-24,"75,589"
2014-07-25,"74,679"
2014-07-28,"75,435"
2014-07-29,"77,094"
2014-07-30,"74,752"
2014-07-31,"73,484"
2014-08-01,"73,484"
2014-08-04,"76,294"
2014-08-05,"76,606"
2014-08-06,"78,021"
2014-08-07,"75,514"
2014-08-08,"75,933"
2014-08-11,"77,094"
2014-08-12,"75,582"
2014-08-13,"77,094"
2014-08-14,"77,085"
2014-08-18,"75,143"
2014-08-19,"75,045"
2014-08-20,"74,118"
2014-08-21,"72,703"
2014-08-22,"73,63"
2014-08-25,"73,19"
2014-08-26,"73,484"
2014-08-27,"73,923"
2014-08-28,"73,874"
2014-08-29,"77,094"
2014-09-01,"80,022"
2014-09-02,"82,121"
2014-09-03,"83,925"
2014-09-04,"84,023"
2014-09-05,"85,683"
2014-09-08,"85,877"
2014-09-09,"86,365"
2014-09-10,"88,532"
2014-09-11,"89,498"
2014-09-12,"95,637"
2014-09-15,"94,427"
2014-09-16,"96,065"
2014-09-17,"93,295"
2014-09-18,"93,685"
2014-09-19,"93,675"
2014-09-22,"93,549"
2014-09-23,"93,519"
2014-09-24,"92,992"
2014-09-25,"92,708"
2014-09-26,"93,685"
2014-09-29,"93,685"
2014-09-30,"93,977"
2014-10-01,"93,685"
2014-10-02,"93,295"
2014-10-03,"93,479"
2014-10-06,"93,977"
2014-10-07,"93,685"
2014-10-08,"93,685"
2014-10-09,"93,685"
2014-10-10,"93,685"
2014-10-13,"93,685"
2014-10-14,"93,685"
2014-10-15,"93,685"
2014-10-16,"93,586"
2014-10-17,"93,636"
2014-10-20,"93,636"
2014-10-21,"93,392"
2014-10-22,"93,382"
2014-10-23,"94,173"
2014-10-24,"94,163"
2014-10-27,"94,163"
2014-10-28,"92,718"
2014-10-29,"92,708"
2014-10-30,"92,708"
2014-10-31,"93,177"
2014-11-03,"91,733"
2014-11-04,"92,708"
2014-11-05,"92,152"
2014-11-06,"95,627"
2014-11-07,"93,509"
2014-11-10,"92,454"
2014-11-12,"94,173"
2014-11-13,"92,923"
2014-11-14,"92,923"
2014-11-17,"103,83"
2014-11-18,"105,88"
2014-11-19,"105,74"
2014-11-20,"105,39"
2014-11-21,"108,77"
2014-11-24,"109,54"
2014-11-25,"111,26"
2014-11-26,"113,01"
2014-11-27,"111,83"
2014-11-28,"111,16"
2014-12-01,"112,13"
2014-12-02,"111,16"
2014-12-03,"109,29"
2014-12-04,"111,01"
2014-12-05,"110,66"
2014-12-08,"107,84"
2014-12-09,"103,93"
2014-12-10,"100,71"
2014-12-11,"100,71"
2014-12-12,"105,39"
2014-12-15,"107,74"
2014-12-16,"108,52"
2014-12-17,"110,27"
2014-12-18,"107,35"
2014-12-19,"109,29"
2014-12-22,"108,91"
2014-12-23,"108,32"
2014-12-29,"112,61"
2014-12-30,"112,71"
2015-01-02,"111,93"
2015-01-05,"113,11"
2015-01-07,"111,26"
2015-01-08,"114,66"
2015-01-09,"115,93"
2015-01-12,"112,23"
2015-01-13,"111,34"
2015-01-14,"111,11"
2015-01-15,"109,01"
2015-01-16,"106,37"
2015-01-19,"103,45"
2015-01-20,"100,71"
2015-01-21,"100,71"
2015-01-22,"103,3"
2015-01-23,"107,35"
2015-01-26,"105,59"
2015-01-27,"103,15"
2015-01-28,"102,85"
2015-01-29,"101,68"
2015-01-30,"103,64"
2015-02-02,"102,47"
2015-02-03,"102,03"
2015-02-04,"102,47"
2015-02-05,"106,37"
2015-02-06,"109,15"
2015-02-09,"109,69"
2015-02-10,"114,08"
2015-02-11,"115,1"
2015-02-12,"114,96"
2015-02-13,"114,66"
2015-02-16,"110,32"
2015-02-17,"110,27"
2015-02-18,"105,39"
2015-02-19,"107,35"
2015-02-20,"105,1"
2015-02-23,"103,93"
2015-02-24,"105,59"
2015-02-25,"108,12"
2015-02-26,"109,29"
2015-02-27,"113,59"
2015-03-02,"114,66"
2015-03-03,"123,06"
2015-03-04,"122,09"
2015-03-05,"122,38"
2015-03-06,"121,99"
2015-03-09,"121,39"
2015-03-10,"121,01"
2015-03-11,"121,11"
2015-03-12,"121,11"
2015-03-13,"120,92"
2015-03-16,"120,96"
2015-03-17,"119,15"
2015-03-18,"120,52"
2015-03-19,"120,03"
2015-03-20,"121,79"
2015-03-23,"118,57"
2015-03-24,"119,3"
2015-03-25,"119,01"
2015-03-26,"118,23"
2015-03-27,"118,23"
2015-03-30,"117,2"
