Data,Zamknięcie
2014-01-02,"15,92"
2014-01-03,"15,92"
2014-01-07,"15,76"
2014-01-08,"15,36"
2014-01-09,"15,28"
2014-01-10,"15,76"
2014-01-13,"15,88"
2014-01-14,"15,88"
2014-01-15,"16,6"
2014-01-16,"17,16"
2014-01-17,"16,64"
2014-01-20,"16,52"
2014-01-21,"16,68"
2014-01-22,"16,36"
2014-01-23,"16,56"
2014-01-24,"16,4"
2014-01-27,"15,96"
2014-01-28,"16,64"
2014-01-29,"16,56"
2014-01-30,"16,4"
2014-01-31,"16,2"
2014-02-03,"16,08"
2014-02-04,"16,4"
2014-02-05,"16,6"
2014-02-06,"16,84"
2014-02-07,"16,84"
2014-02-10,"17,6"
2014-02-11,"17,48"
2014-02-12,"17,8"
2014-02-13,"17,72"
2014-02-14,"17,44"
2014-02-17,"17,36"
2014-02-18,"17,2"
2014-02-19,"16,72"
2014-02-20,"16,28"
2014-02-21,"16,56"
2014-02-24,"16,8"
2014-02-25,"16,4"
2014-02-26,"16,12"
2014-02-27,"15,92"
2014-02-28,16
2014-03-03,"13,8"
2014-03-04,"14,8"
2014-03-05,"14,36"
2014-03-06,"14,2"
2014-03-07,"13,6"
2014-03-10,"13,16"
2014-03-11,13
2014-03-12,"12,24"
2014-03-13,"11,68"
2014-03-14,11
2014-03-17,13
2014-03-18,"13,24"
2014-03-19,"12,28"
2014-03-20,"12,12"
2014-03-21,"12,28"
2014-03-24,"11,96"
2014-03-25,"11,96"
2014-03-26,"13,16"
2014-03-27,"12,92"
2014-03-28,"12,68"
2014-03-31,13
2014-04-01,"13,72"
2014-04-02,"14,16"
2014-04-03,"14,08"
2014-04-04,"14,16"
2014-04-07,"13,64"
2014-04-08,"13,28"
2014-04-09,"13,36"
2014-04-10,"13,04"
2014-04-11,"13,04"
2014-04-14,"12,56"
2014-04-15,"12,6"
2014-04-16,"12,4"
2014-04-17,"12,56"
2014-04-22,"13,32"
2014-04-23,"12,96"
2014-04-24,"12,48"
2014-04-25,"12,76"
2014-04-28,"12,64"
2014-04-29,"12,6"
2014-04-30,"12,76"
2014-05-02,"13,16"
2014-05-05,"12,6"
2014-05-06,"12,72"
2014-05-07,"12,92"
2014-05-08,"13,16"
2014-05-09,"12,8"
2014-05-12,"12,56"
2014-05-13,"12,84"
2014-05-14,"12,8"
2014-05-15,"12,8"
2014-05-16,"12,6"
2014-05-19,"12,64"
2014-05-20,"12,64"
2014-05-21,"12,8"
2014-05-22,"13,04"
2014-05-23,"13,32"
2014-05-26,"13,44"
2014-05-27,"13,4"
2014-05-28,"13,44"
2014-05-29,"13,32"
2014-05-30,"13,16"
2014-06-02,"13,12"
2014-06-03,"13,2"
2014-06-04,"13,04"
2014-06-05,"13,32"
2014-06-06,"13,52"
2014-06-09,"13,52"
2014-06-10,"13,48"
2014-06-11,"13,32"
2014-06-12,"13,2"
2014-06-13,"13,2"
2014-06-16,"12,96"
2014-06-17,"12,76"
2014-06-18,"12,76"
2014-06-20,13
2014-06-23,"12,68"
2014-06-24,"12,8"
2014-06-25,"12,32"
2014-06-26,"12,36"
2014-06-27,"12,2"
2014-06-30,"12,48"
2014-07-01,"12,08"
2014-07-02,"11,84"
2014-07-03,"11,76"
2014-07-04,"11,84"
2014-07-07,"11,76"
2014-07-08,"11,28"
2014-07-09,"11,04"
2014-07-10,11
2014-07-11,"11,76"
2014-07-14,"12,36"
2014-07-15,"12,32"
2014-07-16,"12,28"
2014-07-17,"12,36"
2014-07-18,"12,28"
2014-07-21,"12,24"
2014-07-22,"12,16"
2014-07-23,"11,96"
2014-07-24,"12,16"
2014-07-25,"12,12"
2014-07-28,"12,16"
2014-07-29,"11,88"
2014-07-30,"11,12"
2014-07-31,"11,08"
2014-08-01,"11,28"
2014-08-04,"11,44"
2014-08-05,"11,08"
2014-08-06,"10,88"
2014-08-07,"10,48"
2014-08-08,"10,08"
2014-08-11,"10,84"
2014-08-12,"11,08"
2014-08-13,"11,28"
2014-08-14,"11,24"
2014-08-18,"11,28"
2014-08-19,"11,2"
2014-08-20,"11,16"
2014-08-21,"11,16"
2014-08-22,"10,88"
2014-08-25,11
2014-08-26,"11,2"
2014-08-27,"11,32"
2014-08-28,"10,56"
2014-08-29,"10,68"
2014-09-01,"10,72"
2014-09-02,"10,48"
2014-09-03,"11,08"
2014-09-04,"11,16"
2014-09-05,"10,84"
2014-09-08,"10,92"
2014-09-09,"10,84"
2014-09-10,"11,04"
2014-09-11,"10,92"
2014-09-12,"10,92"
2014-09-15,"11,52"
2014-09-16,"11,92"
2014-09-17,"12,16"
2014-09-18,"11,8"
2014-09-19,"12,04"
2014-09-22,"11,92"
2014-09-23,"11,84"
2014-09-24,12
2014-09-25,"11,6"
2014-09-26,"11,56"
2014-09-29,"11,6"
2014-09-30,"11,76"
2014-10-01,"11,28"
2014-10-02,"10,8"
2014-10-03,"10,96"
2014-10-06,"11,16"
2014-10-07,"10,88"
2014-10-08,"10,56"
2014-10-09,"10,56"
2014-10-10,"10,36"
2014-10-13,"10,24"
2014-10-14,"10,12"
2014-10-15,"9,76"
2014-10-16,"9,68"
2014-10-17,"9,2"
2014-10-20,"9,08"
2014-10-21,"9,6"
2014-10-22,"9,64"
2014-10-23,"9,4"
2014-10-24,"9,44"
2014-10-27,"9,72"
2014-10-28,"9,64"
2014-10-29,"9,8"
2014-10-30,"9,64"
2014-10-31,"9,76"
2014-11-03,"9,64"
2014-11-04,"9,92"
2014-11-05,"9,88"
2014-11-06,"9,64"
2014-11-07,"9,56"
2014-11-10,"9,56"
2014-11-12,"9,4"
2014-11-13,"9,24"
2014-11-14,"9,44"
2014-11-17,"9,48"
2014-11-18,"9,6"
2014-11-19,"9,56"
2014-11-20,"9,48"
2014-11-21,"9,64"
2014-11-24,"9,56"
2014-11-25,"9,44"
2014-11-26,"9,76"
2014-11-27,"9,6"
2014-11-28,"9,48"
2014-12-01,"9,44"
2014-12-02,"9,48"
2014-12-03,"9,48"
2014-12-04,"9,16"
2014-12-05,"9,12"
2014-12-08,"9,12"
2014-12-09,"8,96"
2014-12-10,"8,6"
2014-12-11,"8,8"
2014-12-12,"8,72"
2014-12-15,"8,6"
2014-12-16,8
2014-12-17,"8,2"
2014-12-18,"8,2"
2014-12-19,8
2014-12-22,"7,76"
2014-12-23,"7,8"
2014-12-29,"7,36"
2014-12-30,"7,44"
2015-01-02,"7,56"
2015-01-05,"7,52"
2015-01-07,"8,24"
2015-01-08,"8,88"
2015-01-09,"8,84"
2015-01-12,"8,72"
2015-01-13,"8,64"
2015-01-14,"8,36"
2015-01-15,"7,72"
2015-01-16,"7,88"
2015-01-19,"8,04"
2015-01-20,"7,88"
2015-01-21,"7,92"
2015-01-22,8
2015-01-23,"7,92"
2015-01-26,"7,52"
2015-01-27,"7,56"
2015-01-28,"7,88"
2015-01-29,"7,92"
2015-01-30,"7,84"
2015-02-02,"7,92"
2015-02-03,"7,84"
2015-02-04,"7,68"
2015-02-05,"7,56"
2015-02-06,"7,72"
2015-02-09,"7,68"
2015-02-10,"7,68"
2015-02-11,"7,72"
2015-02-12,"7,88"
2015-02-13,"8,2"
2015-02-16,"8,4"
2015-02-17,"8,4"
2015-02-18,"8,36"
2015-02-19,"8,32"
2015-02-20,"8,28"
2015-02-23,"8,24"
2015-02-24,"8,2"
2015-02-25,"7,72"
2015-02-26,"7,68"
2015-02-27,8
2015-03-02,"8,36"
2015-03-03,"8,2"
2015-03-04,"8,2"
2015-03-05,"8,16"
2015-03-06,"8,24"
2015-03-09,"8,44"
2015-03-10,"8,8"
2015-03-11,"8,96"
2015-03-12,"8,92"
2015-03-13,"9,12"
2015-03-16,"9,52"
2015-03-17,"9,48"
2015-03-18,"9,4"
2015-03-19,"9,24"
2015-03-20,"9,16"
2015-03-23,"9,12"
2015-03-24,"8,96"
2015-03-25,"8,76"
2015-03-26,"8,48"
2015-03-27,"8,36"
2015-03-30,"8,32"
2015-03-31,"8,32"
2015-04-01,"7,88"
2015-04-02,"7,76"
2015-04-07,"8,16"
2015-04-08,"8,4"
2015-04-09,"8,76"
2015-04-10,"8,36"
2015-04-13,"8,56"
2015-04-14,"8,52"
2015-04-15,"8,64"
2015-04-16,"8,76"
2015-04-17,"8,76"
2015-04-20,"8,8"
2015-04-21,"8,8"
2015-04-22,"8,76"
2015-04-23,"8,76"
2015-04-24,"8,72"
2015-04-27,"8,56"
2015-04-28,"8,48"
2015-04-29,"8,68"
2015-04-30,"8,6"
2015-05-04,"8,64"
2015-05-05,"8,64"
2015-05-06,"8,64"
2015-05-07,"8,64"
2015-05-08,"8,76"
2015-05-11,"8,64"
2015-05-12,"8,64"
2015-05-13,"8,44"
2015-05-14,"8,36"
2015-05-15,"8,44"
2015-05-18,"8,32"
2015-05-19,"8,24"
2015-05-20,"8,2"
2015-05-21,"8,16"
2015-05-22,8
2015-05-25,"7,72"
2015-05-26,"7,8"
2015-05-27,"8,04"
2015-05-28,8
2015-05-29,"7,84"
2015-06-01,"7,96"
2015-06-02,"7,84"
2015-06-03,"7,88"
2015-06-05,"7,84"
2015-06-08,"7,72"
2015-06-09,"7,68"
2015-06-10,"7,8"
2015-06-11,"7,8"
2015-06-12,"7,72"
2015-06-15,"7,6"
2015-06-16,"7,48"
2015-06-17,"7,36"
2015-06-18,"7,12"
2015-06-19,"6,92"
2015-06-22,7
2015-06-23,"7,12"
2015-06-24,"7,08"
2015-06-25,"7,08"
2015-06-26,7
2015-06-29,"6,68"
2015-06-30,"6,64"
2015-07-01,"6,72"
2015-07-02,"6,8"
2015-07-03,"6,56"
2015-07-06,"6,36"
2015-07-07,"6,2"
2015-07-08,"5,96"
2015-07-09,"6,04"
2015-07-10,"6,28"
2015-07-13,"6,52"
2015-07-14,"6,6"
2015-07-15,"6,56"
2015-07-16,"6,56"
2015-07-17,"6,52"
2015-07-20,"6,24"
