Date,Price
2014-01-02,"8714,32"
2014-01-03,"8818,07"
2014-01-07,"8551,44"
2014-01-08,"8498,12"
2014-01-09,"8241,2"
2014-01-10,"8241,2"
2014-01-13,"8209,19"
2014-01-14,"8581,06"
2014-01-15,"8498,12"
2014-01-16,"8444,84"
2014-01-17,"8532,05"
2014-01-20,"8511,69"
2014-01-21,"8725,96"
2014-01-22,"8910,18"
2014-01-23,"8968,31"
2014-01-24,"8803,03"
2014-01-27,"8667,69"
2014-01-28,"8641,71"
2014-01-29,"8551,44"
2014-01-30,"8483,57"
2014-01-31,"8532,05"
2014-02-03,"8570,83"
2014-02-04,"8536,9"
2014-02-05,"8577,57"
2014-02-06,"8725,96"
2014-02-07,"8919,78"
2014-02-10,"8905,33"
2014-02-11,"9112,33"
2014-02-12,"8977,07"
2014-02-13,"9113,79"
2014-02-14,"9336,78"
2014-02-17,"9472,51"
2014-02-18,"9356,17"
2014-02-19,"9404,65"
2014-02-20,"9405,61"
2014-02-21,"9462,83"
2014-02-24,"9676,12"
2014-02-25,"9501,59"
2014-02-26,"9365,86"
2014-02-27,"9453,12"
2014-02-28,"9695,51"
2014-03-03,"8726,21"
2014-03-04,"9210,73"
2014-03-05,"8861,7"
2014-03-06,"9016,83"
2014-03-07,"8832,61"
2014-03-10,"8677,49"
2014-03-11,"8629,01"
2014-03-12,"8425,39"
2014-03-13,"8347,83"
2014-03-14,"8037,57"
2014-03-17,"8250,92"
2014-03-18,"8241,66"
2014-03-19,"8241,2"
2014-03-20,"8338,14"
2014-03-21,"8241,2"
2014-03-24,"8492,49"
2014-03-25,"8784,14"
2014-03-26,"8716,26"
2014-03-27,"8725,96"
2014-03-28,"8674,57"
2014-03-31,"8617,38"
2014-04-01,"8435,1"
2014-04-02,"8066,67"
2014-04-03,"8119,99"
2014-04-04,"8435,1"
2014-04-07,"8192,71"
2014-04-08,"8221,79"
2014-04-09,"8270,13"
2014-04-10,"8115,14"
2014-04-11,"8071,51"
2014-04-14,"7775,79"
2014-04-15,"7746,71"
2014-04-16,"7320,11"
2014-04-17,"7543,1"
2014-04-22,"7732,17"
2014-04-23,"7496,42"
2014-04-24,"7514,01"
2014-04-25,"7660,42"
2014-04-28,"7572,19"
2014-04-29,"7567,34"
2014-04-30,"7601,27"
2014-05-02,"7417,06"
2014-05-05,"7077,71"
2014-05-06,"7146,56"
2014-05-07,"7562,5"
2014-05-08,"7562,5"
2014-05-09,"7465,54"
2014-05-12,"7707,93"
2014-05-13,"7659,45"
2014-05-14,"7776,76"
2014-05-15,"7562,5"
2014-05-16,"7585,27"
2014-05-19,"7640,07"
2014-05-20,"7664,3"
2014-05-21,"7669,44"
2014-05-22,"7901,84"
2014-05-23,"8105,54"
2014-05-26,"8074,82"
2014-05-27,"7901,84"
2014-05-28,"7673,99"
2014-05-29,"8047,27"
2014-05-30,"8095,75"
2014-06-02,"7960,01"
2014-06-03,"8096,72"
2014-06-04,"8221,79"
2014-06-05,"8241,2"
2014-06-06,"8289,67"
2014-06-09,"8127,12"
2014-06-10,"8144,23"
2014-06-11,"8144,27"
2014-06-12,"8192,71"
2014-06-13,"8072,49"
2014-06-16,"8047,27"
2014-06-17,"8047,27"
2014-06-18,"7872,76"
2014-06-20,"8243,61"
2014-06-23,"8241,2"
2014-06-24,"8135,99"
2014-06-25,"8081,69"
2014-06-26,8062
2014-06-27,"8052,22"
2014-06-30,"8144,23"
2014-07-01,"7852,39"
2014-07-02,"8105,44"
2014-07-03,"7955,16"
2014-07-04,"7872,76"
2014-07-07,"7756,4"
2014-07-08,"7756,4"
2014-07-09,"7756,4"
2014-07-10,"7562,5"
2014-07-11,"7756,4"
2014-07-14,"7465,54"
2014-07-15,"7543,15"
2014-07-16,"7562,5"
2014-07-17,"7586,74"
2014-07-18,"7610,97"
2014-07-21,"7562,5"
2014-07-22,"7581,89"
2014-07-23,"7707,93"
2014-07-24,"7812,64"
2014-07-25,"7833,97"
2014-07-28,"7785,5"
2014-07-29,"7950,31"
2014-07-30,"7756,4"
2014-07-31,"7562,5"
2014-08-01,"7417,06"
2014-08-04,"7368,58"
2014-08-05,"7330,77"
2014-08-06,"7368,58"
2014-08-07,"7336,59"
2014-08-08,"7129,2"
2014-08-11,"7082,57"
2014-08-12,"7223,15"
2014-08-13,"7174,68"
2014-08-14,"7761,25"
2014-08-18,"7761,25"
2014-08-19,"7785,5"
2014-08-20,"7707,93"
2014-08-21,"7799,08"
2014-08-22,"7998,79"
2014-08-25,"8144,23"
2014-08-26,"8149,07"
2014-08-27,"8221,79"
2014-08-28,"7998,79"
2014-08-29,"8241,2"
2014-09-01,"8532,05"
2014-09-02,"8784,14"
2014-09-03,"9321,53"
2014-09-04,"9894,69"
2014-09-05,"9796,73"
2014-09-08,"9875,1"
2014-09-09,"9875,1"
2014-09-10,"9786,94"
2014-09-11,"9641,94"
2014-09-12,"9306,89"
2014-09-15,"9130,55"
2014-09-16,"9355,87"
2014-09-17,"9541,02"
2014-09-18,"9404,85"
2014-09-19,"9728,14"
2014-09-22,"9552,04"
2014-09-23,"9547,88"
2014-09-24,"9556,22"
2014-09-25,"9551,82"
2014-09-26,"9483,22"
2014-09-29,"9587,56"
2014-09-30,"9698,75"
2014-10-01,"9509,04"
2014-10-02,"9305,8"
2014-10-03,"8817,24"
2014-10-06,"9159,94"
2014-10-07,"9395,05"
2014-10-08,"9297,09"
2014-10-09,"9551,82"
2014-10-10,"9493,02"
2014-10-13,"9581,2"
2014-10-14,"9644,87"
2014-10-15,"9581,2"
2014-10-16,"9502,83"
2014-10-17,"9527,32"
2014-10-20,"9502,83"
2014-10-21,"9551,82"
2014-10-22,"9561,6"
2014-10-23,"9575,31"
2014-10-24,"9502,83"
2014-10-27,"9532,21"
2014-10-28,"9502,83"
2014-10-29,"9522,41"
2014-10-30,"9551,82"
2014-10-31,"9844,73"
2014-11-03,"9796,73"
2014-11-04,"9802,59"
2014-11-05,"9796,73"
2014-11-06,"9796,73"
2014-11-07,"9052,17"
2014-11-10,"8738,68"
2014-11-12,"8915,02"
2014-11-13,"8856,23"
2014-11-14,"8621,11"
2014-11-17,"8376,2"
2014-11-18,"8474,17"
2014-11-19,"8776,89"
2014-11-20,"8866,28"
2014-11-21,"8817,05"
2014-11-24,"8792,56"
2014-11-25,"8991,18"
2014-11-26,"8753,37"
2014-11-27,"8856,23"
2014-11-28,"8660,31"
2014-12-01,8817
2014-12-02,"8831,74"
2014-12-03,"8807,5"
2014-12-04,"8646,59"
2014-12-05,"8650,5"
2014-12-08,"8523,15"
2014-12-09,"8288,02"
2014-12-10,"8205,5"
2014-12-11,"8248,84"
2014-12-12,"7954,94"
2014-12-15,"7641,45"
2014-12-16,"7396,52"
2014-12-17,"7643,9"
2014-12-18,"7612,06"
2014-12-19,"7410,19"
2014-12-22,"7380,95"
2014-12-23,"7314,72"
2014-12-29,"7269,26"
2014-12-30,"7087,54"
2015-01-02,"7161,41"
2015-01-05,"7014,46"
2015-01-07,"6955,67"
2015-01-08,"7210,44"
2015-01-09,"7210,44"
2015-01-12,"7220,19"
2015-01-13,"7445,51"
2015-01-14,"7291,01"
