Data,Zamkniecie
2014-01-02,"1,91"
2014-01-03,"1,9"
2014-01-07,"1,82"
2014-01-08,"1,8"
2014-01-09,"1,81"
2014-01-10,"1,8"
2014-01-13,"1,84"
2014-01-14,"1,8"
2014-01-15,"1,8"
2014-01-16,"1,8"
2014-01-17,"1,8"
2014-01-20,"1,81"
2014-01-21,"1,76"
2014-01-22,"1,73"
2014-01-23,"1,75"
2014-01-24,"1,77"
2014-01-27,"1,71"
2014-01-28,"1,75"
2014-01-29,"1,75"
2014-01-30,"1,81"
2014-01-31,"1,87"
2014-02-03,"1,93"
2014-02-04,"1,91"
2014-02-05,"1,96"
2014-02-06,2
2014-02-07,2
2014-02-10,"1,99"
2014-02-11,"1,99"
2014-02-12,"1,98"
2014-02-13,"1,96"
2014-02-14,2
2014-02-17,"2,05"
2014-02-18,"2,05"
2014-02-19,"2,03"
2014-02-20,2
2014-02-21,"2,02"
2014-02-24,"2,02"
2014-02-25,2
2014-02-26,"1,99"
2014-02-27,"1,98"
2014-02-28,"1,95"
2014-03-03,"1,9"
2014-03-04,"1,89"
2014-03-05,"1,83"
2014-03-06,"1,81"
2014-03-07,"1,8"
2014-03-10,"1,78"
2014-03-11,"1,84"
2014-03-12,"1,79"
2014-03-13,"1,79"
2014-03-14,"1,72"
2014-03-17,"1,78"
2014-03-18,"1,79"
2014-03-19,"1,74"
2014-03-20,"1,7"
2014-03-21,"1,7"
2014-03-24,"1,69"
2014-03-25,"1,78"
2014-03-26,"1,78"
2014-03-27,"1,74"
2014-03-28,"1,75"
2014-03-31,"1,75"
2014-04-01,"1,81"
2014-04-02,"1,87"
2014-04-03,"1,85"
2014-04-04,"1,84"
2014-04-07,"1,76"
2014-04-08,"1,74"
2014-04-09,"1,73"
2014-04-10,"1,73"
2014-04-11,"1,7"
2014-04-14,"1,68"
2014-04-15,"1,66"
2014-04-16,"1,64"
2014-04-17,"1,64"
2014-04-22,"1,7"
2014-04-23,"1,68"
2014-04-24,"1,66"
2014-04-25,"1,64"
2014-04-28,"1,64"
2014-04-29,"1,65"
2014-04-30,"1,67"
2014-05-02,"1,69"
2014-05-05,"1,64"
2014-05-06,"1,6"
2014-05-07,"1,59"
2014-05-08,"1,58"
2014-05-09,"1,59"
2014-05-12,"1,61"
2014-05-13,"1,64"
2014-05-14,"1,65"
2014-05-15,"1,63"
2014-05-16,"1,62"
2014-05-19,"1,59"
2014-05-20,"1,59"
2014-05-21,"1,57"
2014-05-22,"1,59"
2014-05-23,"1,6"
2014-05-26,"1,57"
2014-05-27,"1,57"
2014-05-28,"1,58"
2014-05-29,"1,58"
2014-05-30,"1,58"
2014-06-02,"1,57"
2014-06-03,"1,63"
2014-06-04,"1,64"
2014-06-05,"1,63"
2014-06-06,"1,6"
2014-06-09,"1,6"
2014-06-10,"1,64"
2014-06-11,"1,69"
2014-06-12,"1,73"
2014-06-13,"1,71"
2014-06-16,"1,69"
2014-06-17,"1,78"
2014-06-18,"1,76"
2014-06-20,"1,77"
2014-06-23,"1,8"
2014-06-24,"1,76"
2014-06-25,"1,68"
2014-06-26,"1,68"
2014-06-27,"1,68"
2014-06-30,"1,68"
2014-07-01,"1,7"
2014-07-02,"1,68"
2014-07-03,"1,67"
2014-07-04,"1,68"
2014-07-07,"1,66"
2014-07-08,"1,67"
2014-07-09,"1,68"
2014-07-10,"1,6"
2014-07-11,"1,68"
2014-07-14,"1,74"
2014-07-15,"1,73"
2014-07-16,"1,72"
2014-07-17,"1,72"
2014-07-18,"1,71"
2014-07-21,"1,73"
2014-07-22,"1,73"
2014-07-23,"1,74"
2014-07-24,"1,74"
2014-07-25,"1,75"
2014-07-28,"1,79"
2014-07-29,"1,76"
2014-07-30,"1,74"
2014-07-31,"1,74"
2014-08-01,"1,77"
2014-08-04,"1,84"
2014-08-05,"1,8"
2014-08-06,"1,8"
2014-08-07,"1,79"
2014-08-08,"1,78"
2014-08-11,"1,8"
2014-08-12,"1,84"
2014-08-13,"1,8"
2014-08-14,"1,79"
2014-08-18,"1,79"
2014-08-19,"1,8"
2014-08-20,"1,79"
2014-08-21,"1,76"
2014-08-22,"1,75"
2014-08-25,"1,78"
2014-08-26,"1,76"
2014-08-27,"1,75"
2014-08-28,"1,75"
2014-08-29,"1,72"
2014-09-01,"1,72"
2014-09-02,"1,7"
2014-09-03,"1,75"
2014-09-04,"1,73"
2014-09-05,"1,74"
2014-09-08,"1,74"
2014-09-09,"1,77"
2014-09-10,"1,75"
2014-09-11,"1,75"
2014-09-12,"1,74"
2014-09-15,"1,79"
2014-09-16,"1,8"
2014-09-17,"1,79"
2014-09-18,"1,79"
2014-09-19,"1,83"
2014-09-22,"1,92"
2014-09-23,"1,89"
2014-09-24,"1,89"
2014-09-25,"1,86"
2014-09-26,"1,87"
2014-09-29,"1,85"
2014-09-30,"1,82"
2014-10-01,"1,8"
2014-10-02,"1,77"
2014-10-03,"1,84"
2014-10-06,"1,85"
2014-10-07,"1,85"
2014-10-08,"1,81"
2014-10-09,"1,83"
2014-10-10,"1,78"
2014-10-13,"1,76"
2014-10-14,"1,69"
2014-10-15,"1,66"
2014-10-16,"1,68"
2014-10-17,"1,71"
2014-10-20,"1,7"
2014-10-21,"1,71"
2014-10-22,"1,68"
2014-10-23,"1,67"
2014-10-24,"1,66"
2014-10-27,"1,67"
2014-10-28,"1,69"
2014-10-29,"1,72"
2014-10-30,"1,71"
2014-10-31,"1,7"
2014-11-03,"1,7"
2014-11-04,"1,74"
2014-11-05,"1,71"
2014-11-06,"1,7"
2014-11-07,"1,71"
2014-11-10,"1,71"
2014-11-12,"1,72"
2014-11-13,"1,73"
2014-11-14,"1,72"
2014-11-17,"1,65"
2014-11-18,"1,62"
2014-11-19,"1,67"
2014-11-20,"1,65"
2014-11-21,"1,69"
2014-11-24,"1,69"
2014-11-25,"1,67"
2014-11-26,"1,68"
2014-11-27,"1,66"
2014-11-28,"1,68"
2014-12-01,"1,68"
2014-12-02,"1,65"
2014-12-03,"1,68"
2014-12-04,"1,7"
2014-12-05,"1,72"
2014-12-08,"1,69"
2014-12-09,"1,69"
2014-12-10,"1,67"
2014-12-11,"1,78"
2014-12-12,"1,83"
2014-12-15,"1,78"
2014-12-16,"1,77"
2014-12-17,"1,77"
2014-12-18,"1,81"
2014-12-19,"1,8"
2014-12-22,"1,78"
2014-12-23,"1,78"
2014-12-29,"1,76"
2014-12-30,"1,79"
2015-01-02,"1,8"
2015-01-05,"1,81"
2015-01-07,"1,8"
2015-01-08,"1,85"
2015-01-09,"1,88"
2015-01-12,"1,96"
2015-01-13,"2,01"
2015-01-14,"1,98"
2015-01-15,2
2015-01-16,"2,07"
2015-01-19,"2,07"
2015-01-20,"1,95"
2015-01-21,"1,97"
2015-01-22,"2,03"
2015-01-23,"2,03"
2015-01-26,"2,03"
2015-01-27,"2,05"
2015-01-28,"2,08"
2015-01-29,"2,07"
2015-01-30,"2,02"
2015-02-02,"2,01"
2015-02-03,"2,02"
2015-02-04,"2,05"
2015-02-05,"2,04"
2015-02-06,"2,05"
2015-02-09,"2,03"
2015-02-10,"2,01"
2015-02-11,2
2015-02-12,"2,02"
2015-02-13,"2,04"
2015-02-16,"2,12"
2015-02-17,"2,19"
2015-02-18,"2,14"
2015-02-19,"2,17"
2015-02-20,"2,18"
2015-02-23,"2,24"
2015-02-24,"2,17"
2015-02-25,"2,18"
2015-02-26,"2,18"
2015-02-27,"2,21"
2015-03-02,"2,26"
2015-03-03,"2,22"
2015-03-04,"2,24"
2015-03-05,"2,22"
2015-03-06,"2,17"
2015-03-09,"2,18"
2015-03-10,"2,16"
2015-03-11,"2,17"
2015-03-12,"2,22"
2015-03-13,"2,2"
2015-03-16,"2,33"
2015-03-17,"2,29"
2015-03-18,"2,27"
2015-03-19,"2,33"
2015-03-20,"2,32"
2015-03-23,"2,28"
2015-03-24,"2,32"
2015-03-25,"2,31"
2015-03-26,"2,29"
2015-03-27,"2,3"
2015-03-30,"2,31"
2015-03-31,"2,3"
2015-04-01,"2,34"
2015-04-02,"2,35"
2015-04-07,"2,37"
2015-04-08,"2,45"
2015-04-09,"2,39"
2015-04-10,"2,32"
2015-04-13,"2,26"
2015-04-14,"2,27"
2015-04-15,"2,37"
2015-04-16,"2,33"
2015-04-17,"2,27"
2015-04-20,"2,26"
2015-04-21,"2,27"
2015-04-22,"2,25"
2015-04-23,"2,26"
2015-04-24,"2,26"
2015-04-27,"2,25"
2015-04-28,"2,25"
2015-04-29,"2,2"
2015-04-30,"2,18"
2015-05-04,"2,2"
2015-05-05,"2,3"
2015-05-06,"2,33"
2015-05-07,"2,29"
2015-05-08,"2,3"
2015-05-11,"2,29"
2015-05-12,"2,27"
2015-05-13,"2,24"
2015-05-14,"2,25"
2015-05-15,"2,16"
2015-05-18,"2,17"
2015-05-19,"2,18"
2015-05-20,"2,19"
2015-05-21,"2,15"
2015-05-22,"2,15"
2015-05-25,"2,16"
2015-05-26,"2,1"
2015-05-27,"2,15"
2015-05-28,"2,17"
2015-05-29,"2,19"
2015-06-01,"2,16"
2015-06-02,"2,2"
2015-06-03,"2,23"
2015-06-05,"2,19"
2015-06-08,"2,21"
2015-06-09,"2,14"
2015-06-10,"2,2"
2015-06-11,"2,18"
2015-06-12,"2,19"
2015-06-15,"2,18"
2015-06-16,"2,14"
2015-06-17,"2,07"
2015-06-18,"2,03"
2015-06-19,"2,05"
2015-06-22,"2,13"
2015-06-23,"2,11"
2015-06-24,"2,11"
2015-06-25,"2,1"
2015-06-26,"2,07"
2015-06-29,"2,03"
2015-06-30,"2,01"
2015-07-01,"2,11"
2015-07-02,"2,19"
2015-07-03,"2,23"
2015-07-06,"2,23"
2015-07-07,"2,22"
2015-07-08,"2,16"
2015-07-09,"2,14"
2015-07-10,"2,16"
2015-07-13,"2,18"
2015-07-14,"2,16"
2015-07-15,"2,14"
2015-07-16,"2,19"
2015-07-17,"2,19"
2015-07-20,"2,25"
2015-07-21,"2,36"
2015-07-22,"2,36"
2015-07-23,"2,37"
2015-07-24,"2,38"
2015-07-27,"2,34"
2015-07-28,"2,38"
2015-07-29,"2,35"
2015-07-30,"2,4"
2015-07-31,"2,4"
2015-08-03,"2,39"
2015-08-04,"2,37"
2015-08-05,"2,48"
2015-08-06,"2,46"
2015-08-07,"2,57"
2015-08-10,"2,61"
2015-08-11,"2,66"
2015-08-12,"2,63"
2015-08-13,"2,68"
2015-08-14,"2,69"
2015-08-17,"2,62"
2015-08-18,"2,6"
2015-08-19,"2,64"
2015-08-20,"2,61"
2015-08-21,"2,53"
2015-08-24,"2,4"
2015-08-25,"2,41"
2015-08-26,"2,45"
2015-08-27,"2,55"
2015-08-28,"2,6"
2015-08-31,"2,69"
2015-09-01,"2,58"
2015-09-02,"2,56"
2015-09-03,"2,49"
2015-09-04,"2,51"
2015-09-07,"2,48"
2015-09-08,"2,48"
2015-09-09,"2,59"
2015-09-10,"2,6"
2015-09-11,"2,63"
2015-09-14,"2,62"
2015-09-15,"2,6"
2015-09-16,"2,54"
2015-09-17,"2,64"
2015-09-18,"2,64"
2015-09-21,"2,63"
2015-09-22,"2,58"
2015-09-23,"2,61"
2015-09-24,"2,7"
2015-09-25,"2,79"
2015-09-28,"2,84"
2015-09-29,"2,81"
2015-09-30,"2,83"
2015-10-01,"2,85"
2015-10-02,"2,8"
2015-10-05,"2,86"
2015-10-06,"2,89"
2015-10-07,"2,86"
2015-10-08,"2,92"
2015-10-09,"2,96"
2015-10-12,"2,98"
2015-10-13,"2,97"
2015-10-14,"2,97"
2015-10-15,"2,94"
2015-10-16,"2,89"
2015-10-19,"2,85"
2015-10-20,"2,83"
2015-10-21,"2,87"
2015-10-22,"2,84"
2015-10-23,"2,86"
2015-10-26,"2,95"
2015-10-27,"2,96"
2015-10-28,"2,97"
2015-10-29,"2,96"
2015-10-30,3
2015-11-02,"3,08"
2015-11-03,"3,18"
2015-11-04,"3,18"
2015-11-05,"3,1"
2015-11-06,"3,08"
2015-11-09,"3,07"
2015-11-10,3
2015-11-12,"3,03"
2015-11-13,"2,96"
2015-11-16,"2,86"
2015-11-17,"2,96"
2015-11-18,"2,94"
2015-11-19,"2,92"
2015-11-20,"2,91"
2015-11-23,"2,87"
2015-11-24,"2,78"
2015-11-25,"2,84"
2015-11-26,"2,94"
2015-11-27,"2,94"
2015-11-30,"3,03"
2015-12-01,"2,87"
2015-12-02,"2,85"
2015-12-03,"2,85"
2015-12-04,"2,85"
2015-12-07,"2,9"
2015-12-08,"2,9"
2015-12-09,"2,86"
2015-12-10,"2,86"
2015-12-11,"2,85"
2015-12-14,"2,78"
2015-12-15,"2,71"
2015-12-16,"2,82"
2015-12-17,"2,92"
2015-12-18,"2,86"
2015-12-21,"2,84"
2015-12-22,"2,87"
2015-12-23,"2,88"
2015-12-28,"2,81"
2015-12-29,"2,92"
2015-12-30,"2,92"
2016-01-04,"2,9"
2016-01-05,"2,89"
2016-01-07,"2,84"
2016-01-08,"2,84"
2016-01-11,"2,86"
2016-01-12,"2,86"
2016-01-13,"2,84"
2016-01-14,"2,77"
2016-01-15,"2,77"
2016-01-18,"2,66"
2016-01-19,"2,7"
2016-01-20,"2,71"
2016-01-21,"2,72"
2016-01-22,"2,76"
2016-01-25,"2,76"
2016-01-26,"2,73"
2016-01-27,"2,75"
2016-01-28,"2,74"
2016-01-29,"2,73"
2016-02-01,"2,71"
2016-02-02,"2,67"
2016-02-03,"2,67"
2016-02-04,"2,66"
2016-02-05,"2,65"
2016-02-08,"2,66"
2016-02-09,"2,65"
2016-02-10,"2,67"
2016-02-11,"2,65"
2016-02-12,"2,64"
2016-02-15,"2,67"
2016-02-16,"2,61"
2016-02-17,"2,59"
2016-02-18,"2,59"
2016-02-19,"2,59"
2016-02-22,"2,6"
2016-02-23,"2,68"
2016-02-24,"2,69"
2016-02-25,"2,71"
2016-02-26,"2,68"
2016-02-29,"2,72"
2016-03-01,"2,71"
2016-03-02,"2,7"
2016-03-03,"2,7"
2016-03-04,"2,81"
2016-03-07,"2,89"
2016-03-08,"2,9"
2016-03-09,"2,92"
2016-03-10,"2,91"
2016-03-11,"2,9"
2016-03-14,"2,89"
2016-03-15,"2,9"
2016-03-16,"2,84"
2016-03-17,"2,82"
2016-03-18,"2,88"
2016-03-21,"2,89"
2016-03-22,"2,89"
2016-03-23,"2,85"
2016-03-24,"2,91"
2016-03-29,3
2016-03-30,"3,01"
2016-03-31,"3,04"
2016-04-01,"2,99"
2016-04-04,"3,04"
2016-04-05,"3,02"
2016-04-06,"3,02"
2016-04-07,"3,02"
2016-04-08,"3,03"
2016-04-11,"3,12"
2016-04-12,"3,09"
2016-04-13,"3,1"
2016-04-14,"3,1"
2016-04-15,"3,08"
2016-04-18,"3,08"
2016-04-19,"3,1"
2016-04-20,"3,15"
2016-04-21,"3,14"
2016-04-22,"3,11"
2016-04-25,"3,1"
2016-04-26,"3,08"
2016-04-27,"3,06"
2016-04-28,"3,09"
2016-04-29,"3,08"
2016-05-02,"3,09"
2016-05-04,"3,17"
2016-05-05,"3,1"
2016-05-06,"3,11"
2016-05-09,"3,11"
2016-05-10,"3,12"
2016-05-11,"3,17"
2016-05-12,"3,18"
2016-05-13,"3,22"
2016-05-16,"3,24"
2016-05-17,"3,22"
2016-05-18,"3,2"
2016-05-19,"3,19"
2016-05-20,"3,23"
2016-05-23,"3,22"
2016-05-24,"3,23"
2016-05-25,"3,22"
2016-05-27,"3,26"
2016-05-30,"3,28"
2016-05-31,"3,31"
2016-06-01,"3,2"
2016-06-02,"3,22"
2016-06-03,"3,36"
2016-06-06,"3,32"
2016-06-07,"3,36"
2016-06-08,"3,39"
2016-06-09,"3,37"
2016-06-10,"3,31"
2016-06-13,"3,2"
2016-06-14,"3,18"
2016-06-15,"3,22"
2016-06-16,"3,12"
2016-06-17,"3,17"
2016-06-20,"3,23"
2016-06-21,"3,19"
2016-06-22,"3,19"
2016-06-23,"3,21"
2016-06-24,"3,1"
2016-06-27,"3,15"
2016-06-28,"3,21"
2016-06-29,"3,22"
2016-06-30,"3,21"
2016-07-01,"3,2"
2016-07-04,"3,19"
2016-07-05,"3,16"
2016-07-06,"3,12"
2016-07-07,"3,16"
2016-07-08,"3,17"
2016-07-11,"3,15"
2016-07-12,"3,16"
2016-07-13,"3,15"
2016-07-14,"3,15"
2016-07-15,"3,17"
2016-07-18,"3,27"
2016-07-19,"3,27"
2016-07-20,"3,26"
2016-07-21,"3,28"
2016-07-22,"3,27"
2016-07-25,"3,37"
2016-07-26,"3,44"
2016-07-27,"3,39"
2016-07-28,"3,34"
2016-07-29,"3,32"
2016-08-01,"3,34"
2016-08-02,"3,35"
2016-08-03,"3,38"
2016-08-04,"3,38"
2016-08-05,"3,36"
2016-08-08,"3,4"
2016-08-09,"3,37"
2016-08-10,"3,37"
2016-08-11,"3,35"
2016-08-12,"3,35"
2016-08-16,"3,37"
2016-08-17,"3,37"
2016-08-18,"3,4"
2016-08-19,"3,39"
2016-08-22,"3,4"
2016-08-23,"3,52"
2016-08-24,"3,55"
2016-08-25,"3,58"
2016-08-26,"3,57"
2016-08-29,"3,54"
2016-08-30,"3,53"
2016-08-31,"3,51"
2016-09-01,"3,46"
2016-09-02,"3,48"
2016-09-05,"3,45"
2016-09-06,"3,41"
2016-09-07,"3,37"
2016-09-08,"3,35"
2016-09-09,"3,29"
2016-09-12,"3,29"
2016-09-13,"3,32"
2016-09-14,"3,3"
2016-09-15,"3,31"
2016-09-16,"3,3"
2016-09-19,"3,25"
2016-09-20,"3,16"
2016-09-21,"3,19"
2016-09-22,"3,26"
2016-09-23,"3,23"
2016-09-26,"3,22"
2016-09-27,"3,23"
2016-09-28,"3,24"
2016-09-29,"3,22"
2016-09-30,"3,25"
2016-10-03,"3,32"
2016-10-04,"3,42"
2016-10-05,"3,35"
2016-10-06,"3,39"
2016-10-07,"3,35"
2016-10-10,"3,33"
2016-10-11,"3,38"
2016-10-12,"3,4"
2016-10-13,"3,37"
2016-10-14,"3,34"
2016-10-17,"3,3"
2016-10-18,"3,37"
2016-10-19,"3,41"
2016-10-20,"3,38"
2016-10-21,"3,39"
2016-10-24,"3,4"
2016-10-25,"3,5"
2016-10-26,"3,49"
2016-10-27,"3,5"
2016-10-28,"3,48"
2016-10-31,"3,5"
2016-11-02,"3,4"
2016-11-03,"3,4"
2016-11-04,"3,44"
2016-11-07,"3,45"
2016-11-08,"3,45"
2016-11-09,"3,43"
2016-11-10,"3,47"
2016-11-14,"3,41"
2016-11-15,"3,39"
2016-11-16,"3,33"
2016-11-17,"3,33"
2016-11-18,"3,29"
2016-11-21,"3,34"
2016-11-22,"3,35"
2016-11-23,"3,36"
2016-11-24,"3,4"
2016-11-25,"3,44"
2016-11-28,"3,4"
2016-11-29,"3,39"
2016-11-30,"3,4"
2016-12-01,"3,39"
2016-12-02,"3,34"
2016-12-05,"3,28"
2016-12-06,"3,32"
2016-12-07,"3,32"
2016-12-08,"3,33"
2016-12-09,"3,35"
2016-12-12,"3,38"
2016-12-13,"3,36"
2016-12-14,"3,38"
2016-12-15,"3,43"
2016-12-16,"3,39"
2016-12-19,"3,39"
2016-12-20,"3,4"
2016-12-21,"3,39"
2016-12-22,"3,38"
2016-12-23,"3,38"
2016-12-27,"3,36"
2016-12-28,"3,33"
2016-12-29,"3,32"
2016-12-30,"3,44"
2017-01-02,"3,38"
2017-01-03,"3,4"
2017-01-04,"3,35"
2017-01-05,"3,34"
2017-01-09,"3,37"
2017-01-10,"3,32"
2017-01-11,"3,29"
2017-01-12,"3,21"
2017-01-13,"3,1"
2017-01-16,"3,23"
2017-01-17,"3,26"
2017-01-18,"3,22"
2017-01-19,"3,21"
2017-01-20,"3,2"
2017-01-23,"3,22"
2017-01-24,"3,22"
2017-01-25,"3,22"
2017-01-26,"3,2"
2017-01-27,"3,28"
2017-01-30,"3,25"
2017-01-31,"3,26"
2017-02-01,"3,3"
2017-02-02,"3,28"
2017-02-03,"3,26"
2017-02-06,"3,25"
2017-02-07,"3,22"
2017-02-08,"3,2"
2017-02-09,"3,23"
2017-02-10,"3,25"
2017-02-13,"3,33"
2017-02-14,"3,25"
2017-02-15,"3,32"
2017-02-16,"3,31"
2017-02-17,"3,3"
2017-02-20,"3,28"
2017-02-21,"3,25"
2017-02-22,"3,32"
2017-02-23,"3,29"
2017-02-24,"3,25"
2017-02-27,"3,24"
2017-02-28,"3,25"
2017-03-01,"3,26"
2017-03-02,"3,26"
2017-03-03,"3,31"
2017-03-06,"3,25"
2017-03-07,"3,23"
2017-03-08,"3,23"
2017-03-09,"3,23"
2017-03-10,"3,22"
2017-03-13,"3,24"
2017-03-14,"3,31"
2017-03-15,"3,32"
2017-03-16,"3,4"
2017-03-17,"3,44"
2017-03-20,"3,48"
2017-03-21,"3,38"
2017-03-22,"3,35"
2017-03-23,"3,38"
2017-03-24,"3,38"
2017-03-27,"3,33"
2017-03-28,"3,34"
2017-03-29,"3,34"
2017-03-30,"3,32"
2017-03-31,"3,32"
2017-04-03,"3,28"
2017-04-04,"3,31"
2017-04-05,"3,36"
2017-04-06,"3,34"
2017-04-07,"3,35"
2017-04-10,"3,35"
2017-04-11,"3,3"
2017-04-12,"3,31"
2017-04-13,"3,28"
2017-04-18,"3,29"
2017-04-19,"3,28"
2017-04-20,"3,28"
2017-04-21,"3,27"
2017-04-24,"3,26"
2017-04-25,"3,2"
2017-04-26,"3,22"
2017-04-27,"3,23"
2017-04-28,"3,21"
2017-05-02,"3,19"
2017-05-04,"3,2"
2017-05-05,"3,19"
2017-05-08,"3,2"
2017-05-09,"3,19"
2017-05-10,"3,2"
2017-05-11,"3,18"
2017-05-12,"3,16"
2017-05-15,"3,12"
2017-05-16,"3,19"
2017-05-17,"3,21"
2017-05-18,"3,25"
2017-05-19,"3,38"
2017-05-22,"3,4"
2017-05-23,"3,54"
2017-05-24,"3,5"
2017-05-25,"3,51"
2017-05-26,"3,5"
2017-05-29,"3,45"
2017-05-30,"3,49"
2017-05-31,"3,49"
2017-06-01,"3,5"
2017-06-02,"3,44"
2017-06-05,"3,36"
2017-06-06,"3,41"
2017-06-07,"3,4"
2017-06-08,"3,47"
2017-06-09,"3,48"
2017-06-12,"3,45"
2017-06-13,"3,43"
2017-06-14,"3,46"
2017-06-16,"3,49"
2017-06-19,"3,49"
2017-06-20,"3,49"
2017-06-21,"3,48"
2017-06-22,"3,47"
2017-06-23,"3,43"
2017-06-26,"3,4"
2017-06-27,"3,41"
2017-06-28,"3,39"
2017-06-29,"3,42"
2017-06-30,"3,4"
2017-07-03,"3,38"
2017-07-04,"3,35"
2017-07-05,"3,34"
2017-07-06,"3,34"
2017-07-07,"3,37"
2017-07-10,"3,35"
2017-07-11,"3,35"
2017-07-12,"3,33"
2017-07-13,"3,32"
2017-07-14,"3,3"
2017-07-17,"3,36"
2017-07-18,"3,34"
2017-07-19,"3,33"
2017-07-20,"3,36"
2017-07-21,"3,32"
2017-07-24,"3,36"
2017-07-25,"3,33"
2017-07-26,"3,36"
2017-07-27,"3,37"
2017-07-28,"3,36"
2017-07-31,"3,36"
2017-08-01,"3,37"
2017-08-02,"3,36"
2017-08-03,"3,35"
2017-08-04,"3,4"
2017-08-07,"3,39"
2017-08-08,"3,43"
2017-08-09,"3,38"
2017-08-10,"3,39"
2017-08-11,"3,4"
2017-08-14,"3,39"
2017-08-16,"3,38"
2017-08-17,"3,37"
2017-08-18,"3,37"
2017-08-21,"3,37"
2017-08-22,"3,36"
2017-08-23,"3,28"
2017-08-24,"3,26"
2017-08-25,"3,3"
2017-08-28,"3,33"
2017-08-29,"3,41"
2017-08-30,"3,63"
2017-08-31,"3,62"
2017-09-01,"3,6"
2017-09-04,"3,64"
2017-09-05,"3,61"
2017-09-06,"3,65"
2017-09-07,"3,65"
2017-09-08,"3,66"
2017-09-11,"3,66"
2017-09-12,"3,64"
2017-09-13,"3,6"
2017-09-14,"3,6"
2017-09-15,"3,62"
2017-09-18,"3,66"
2017-09-19,"3,72"
2017-09-20,"3,67"
2017-09-21,"3,66"
2017-09-22,"3,64"
2017-09-25,"3,56"
2017-09-26,"3,59"
2017-09-27,"3,65"
2017-09-28,"3,63"
2017-09-29,"3,6"
2017-10-02,"3,5"
2017-10-03,"3,35"
2017-10-04,"3,49"
2017-10-05,"3,56"
2017-10-06,"3,53"
2017-10-09,"3,58"
2017-10-10,"3,58"
2017-10-11,"3,63"
2017-10-12,"3,56"
2017-10-13,"3,52"
2017-10-16,"3,53"
2017-10-17,"3,49"
2017-10-18,"3,48"
2017-10-19,"3,45"
2017-10-20,"3,42"
2017-10-23,"3,4"
2017-10-24,"3,38"
2017-10-25,"3,37"
2017-10-26,"3,37"
2017-10-27,"3,39"
2017-10-30,"3,4"
2017-10-31,"3,4"
2017-11-02,"3,42"
2017-11-03,"3,48"
2017-11-06,"3,47"
2017-11-07,"3,5"
2017-11-08,"3,47"
2017-11-09,"3,47"
2017-11-10,"3,44"
2017-11-13,"3,43"
2017-11-14,"3,43"
2017-11-15,"3,45"
2017-11-16,"3,61"
2017-11-17,"3,66"
2017-11-20,"3,66"
2017-11-21,"3,94"
2017-11-22,"3,86"
2017-11-23,"3,89"
2017-11-24,"3,87"
2017-11-27,"3,88"
2017-11-28,"3,89"
2017-11-29,4
2017-11-30,"3,93"
2017-12-01,"3,95"
2017-12-04,"4,07"
2017-12-05,"4,15"
2017-12-06,"4,22"
2017-12-07,"4,14"
2017-12-08,"4,15"
2017-12-11,"4,36"
2017-12-12,"4,36"
2017-12-13,"4,38"
2017-12-14,"4,3"
2017-12-15,"4,3"
2017-12-18,"4,28"
2017-12-19,"4,26"
2017-12-20,"4,3"
2017-12-21,"4,42"
2017-12-22,"4,41"
2017-12-27,"4,49"
2017-12-28,"4,43"
2017-12-29,"4,38"
2018-01-03,"4,35"
2018-01-04,"4,38"
2018-01-05,"4,45"
2018-01-08,"4,46"
2018-01-09,"4,58"
2018-01-10,"4,58"
2018-01-11,"4,56"
2018-01-12,"4,54"
2018-01-15,"4,49"
2018-01-16,"4,38"
2018-01-17,"4,36"
2018-01-18,"4,34"
2018-01-19,"4,45"
2018-01-22,"4,59"
2018-01-23,"4,6"
2018-01-24,"4,83"
2018-01-25,"4,84"
2018-01-26,"4,96"
2018-01-29,"5,28"
2018-01-30,"5,17"
2018-01-31,"5,19"
2018-02-01,"5,16"
2018-02-02,"5,09"
2018-02-05,"4,91"
2018-02-06,"4,82"
2018-02-07,"4,9"
2018-02-08,"4,9"
2018-02-09,"4,84"
2018-02-12,5
2018-02-13,"5,22"
2018-02-14,"5,28"
2018-02-15,"5,05"
2018-02-16,"4,92"
2018-02-19,"4,9"
2018-02-20,"4,98"
2018-02-21,"5,07"
2018-02-22,"4,98"
2018-02-23,"4,9"
2018-02-26,"4,77"
2018-02-27,"4,86"
2018-02-28,"4,83"
2018-03-01,"5,01"
2018-03-02,"4,84"
2018-03-05,"4,85"
2018-03-06,"4,82"
2018-03-07,"4,98"
2018-03-08,"5,09"
2018-03-09,"5,15"
2018-03-12,"4,98"
2018-03-13,"4,9"
2018-03-14,"4,85"
2018-03-15,"4,85"
2018-03-16,"4,84"
2018-03-19,"4,89"
2018-03-20,"4,91"
2018-03-21,"4,91"
2018-03-22,"4,95"
2018-03-23,"4,8"
2018-03-26,"4,6"
2018-03-27,"4,74"
2018-03-28,"4,74"
2018-03-29,"4,67"
2018-04-03,"4,65"
2018-04-04,"4,95"
